Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
SP000058;8934868181989;NRC Surf hương tắc can 3.5kg;Surf;60.000,0;59.262,14;2,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000057;8934868196174;NRC Surf hương trà xanh lá dứa can 3.4kg;Surf;58.000,0;54.661,23;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000056;8934868187585;NG Surf tím hương hoa cỏ huyền bí túi 2.9kg;Surf;95.000,0;70.178,61;2,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000055;8934868186540;ST Lifebuoy Cica & muối hồng chai 800g;Lifebuoy;158.000,0;142.190,22;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000052;8934673102049;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;7.500,0;0,00;0,0;;;0,0;999.999.999,0;Bịch;;1,0;;;;1;1;0,0
SP000053;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;72.000,0;0,00;0,0;;;0,0;99.999.999,90;Lóc;SP000052;10,0;;SP000052;;1;1;0,0
SP000054;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;332.000,0;0,00;0,0;;;0,0;20.833.333,313;thùng;SP000052;48,0;;SP000052;;1;1;0,0
8934804051512;8934804051512;NESCAFÉ xanh 3in1 vị rang đậm hộp 340g;Nestle;63.000,0;61.000,00;10,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000051;8934707029144;Hạt nếm Knorr thịt thăn,xương ống bịch 170g;Knorr;17.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000050;8934707031284;Hạt nêm Knorr thịt thăn xương ống bịch 900g;Knorr;68.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000049;8934804027364;NESCAFÉ việt cafe đen đá bịch 592g;Nestle;132.000,0;127.000,00;5,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000048;;QUÀ KM;Babyskin;0,0;0,00;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000045;8935049017103;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;6.000,0;4.130,00;7,0;;;0,0;999.999.999,0;chai;;1,0;;;;1;1;0,0
SP000046;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;28.000,0;24.780,00;1,167;;;0,0;166.666.666,50;Lóc;SP000045;6,0;;SP000045;;1;1;0,0
SP000047;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;205.000,0;198.240,00;0,146;;;0,0;20.833.333,313;Thùng;SP000045;48,0;;SP000045;;1;1;0,0
8935049017097;8935049017097;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;6.000,0;4.130,00;4,0;;;0,0;999.999.999,0;chai;;1,0;;;;1;1;0,0
8935049017097-1;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;28.000,0;24.780,00;0,667;;;0,0;166.666.666,50;Lóc;8935049017097;6,0;;8935049017097;;1;1;0,0
8935049017097-2;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;205.000,0;198.240,00;0,083;;;0,0;20.833.333,313;thùng;8935049017097;48,0;;8935049017097;;1;1;0,0
SP000044;8934680042888;Solite vị lá dứa hộp dài 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000043;8934680042895;Solite vị dâu hộp dài 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000042;8934680042871;Solite vị bơ sữa hộp dài hộp 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000041;8934680012652;Bánh cua Kinh Đô bịch 29g;Kinh Đô;7.000,0;5.585,00;11,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
8934680113878;8934680113878;Bánh Cosy quy sữa Marie gói 408g;Kinh Đô;40.000,0;35.280,00;6,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000040;8934680113861;Bánh qui sữa Cosy Marie hộp 336g;Kinh Đô;42.000,0;35.280,00;5,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000039;8934680040594;KĐ BMT Sandwich kẹp bơ đậu phộng gói 40g;Kinh Đô;7.000,0;4.629,63;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000038;;KĐ Bánh bông lan tươi hạt Socola gói 50g;Kinh Đô;7.000,0;5.555,56;6,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000037;8934680043212;KD Bánh bông lan tươi bơ nho bịch 38g;Kinh Đô;6.000,0;3.888,89;8,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000036;8934637513416;Tương ớt xí muội Cholimex chai 830g;Cholimex;30.000,0;27.800,00;8,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000033;8935001282440;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;8.500,0;7.166,67;22,0;;;0,0;999.999.999,0;Chai;;1,0;;;;1;1;0,0
SP000034;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;48.000,0;43.000,02;3,667;;;0,0;166.666.666,50;Lóc;SP000033;6,0;;SP000033;;1;1;0,0
SP000035;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;178.000,0;172.000,08;0,917;;;0,0;41.666.666,625;Thùng;SP000033;24,0;;SP000033;;1;1;0,0
SP000032;8936025775505;Xúc xích mì dinh dưỡng Lúk Lắk vị thịt nướng phô mai;Kun;16.000,0;12.244,16;15,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000029;8936036025903;Bánh Custas vị phô mai măm xôi việt quốc hộp 282.2g;Chocopie;52.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000028;;A- BALO MILO A2;Nestle;0,0;0,00;17,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
