ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000001;8934868181989;NRC Surf hương tắc can 3.5kg;Surf;60000;59262;2;;;can;;1;;;0
SP000002;8934868196174;NRC Surf hương trà xanh lá dứa can 3.4kg;Surf;58000;54661;1;;;can;;1;;;0
SP000003;8934868187585;NG Surf tím hương hoa cỏ huyền bí túi 2.9kg;Surf;95000;70179;2;;;tui;;1;;;0
SP000004;8934868186540;ST Lifebuoy Cica & muối hồng chai 800g;Lifebuoy;158000;142190;1;;;chai;;1;;;0
SP000005;8934673102049;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;7500;0;0;;;Bịch;;1;;;0
SP000006;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;72000;0;0;;;Lóc;SP000005;10;SP000005;;0
SP000007;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;332000;0;0;;;thùng;SP000005;48;SP000005;;0
SP000008;8934804051512;NESCAFÉ xanh 3in1 vị rang đậm hộp 340g;Nestle;63000;61000;10;;;hộp;;1;;;0
SP000009;8934707029144;Hạt nếm Knorr thịt thăn,xương ống bịch 170g;Knorr;17000;0;0;;;Bịch;;1;;;0
SP000010;8934707031284;Hạt nêm Knorr thịt thăn xương ống bịch 900g;Knorr;68000;0;0;;;Bịch;;1;;;0
SP000011;8934804027364;NESCAFÉ việt cafe đen đá bịch 592g;Nestle;132000;127000;5;;;Bịch;;1;;;0
SP000013;8935049017103;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;6000;4130;7;;;chai;;1;;;0
SP000014;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;28000;24780;1;;;Lóc;SP000013;6;SP000013;;0
SP000015;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;205000;198240;0;;;Thùng;SP000013;48;SP000013;;0
SP000016;8935049017097;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;6000;4130;4;;;chai;;1;;;0
SP000017;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;28000;24780;1;;;Lóc;SP000016;6;SP000016;;0
SP000018;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;205000;198240;0;;;thùng;SP000016;48;SP000016;;0
SP000019;8934680042888;Solite vị lá dứa hộp dài 360g;Kinh Đô;42000;37505;0;;;hộp;;1;;;0
SP000020;8934680042895;Solite vị dâu hộp dài 360g;Kinh Đô;42000;37505;0;;;hộp;;1;;;0
